,Feature variation,Age (0.08),SexCategory (0.01),HGB (0.24),WBC (0.21),RBC (0.25),MCV (0.18),PLT (0.03)
0,0.0,17.107703125,27.811984374999998,96.88328125,22.435484375,55.180546875000005,27.695406249999998,33.770250000000004
1,5.2631578947368425,17.968171875,27.723435156249998,53.9158125,22.66315625,15.391046875,19.687093750000003,30.9673125
2,10.526315789473685,18.7664375,27.634885937499998,44.821015625,22.773859375,14.999921875,20.399359375,29.295031249999997
3,15.789473684210527,19.50965625,27.54633671875,36.243281249999995,22.835171875,14.9056875,20.895,28.541140625
4,21.05263157894737,20.680078125,27.4577875,30.282484375000003,22.887984375000002,14.983640625,21.333546875,28.112734375
5,26.315789473684212,22.632859375,27.36923828125,26.527812499999996,22.92171875,15.23125,21.68165625,27.822109374999997
6,31.578947368421055,23.94575,27.2806890625,23.491640625,22.956546875,15.694671875,22.040921875,27.564812500000002
7,36.8421052631579,24.8428125,27.19213984375,21.19375,22.991406249999997,16.4401875,22.369203125000002,27.327734375000002
8,42.10526315789474,25.785437500000004,27.103590625,20.0409375,23.026968749999998,17.277859375,22.708671875,27.110656249999998
9,47.36842105263158,26.844078125,27.01504140625,18.79515625,23.053453125,18.261859375,23.004984375,26.898359375000002
10,52.631578947368425,27.589890625000002,26.926492187499996,18.224890625,23.089046875,19.425109374999998,23.371484375,26.715375
11,57.89473684210527,28.678109375,26.837942968749996,17.795890625,23.13253125,20.656953125,23.74509375,26.501515625
12,63.15789473684211,29.344359375,26.749393749999996,17.622359375,23.169421875,21.892828125,24.1378125,26.2984375
13,68.42105263157896,30.2983125,26.660844531249996,17.316671875,23.214890625000002,23.419875,24.5593125,26.060296875
14,73.6842105263158,31.226484375000002,26.572295312499996,17.080828125,23.26925,25.277500000000003,25.039375000000003,25.79471875
15,78.94736842105263,32.1491875,26.483746093749996,16.884687500000002,23.33146875,27.332796875,25.6525625,25.504875
16,84.21052631578948,32.751640625,26.395196874999996,16.6076875,23.423515625,29.809578125,26.438234375000004,25.118546874999996
17,89.47368421052633,33.629296874999994,26.306647656249996,16.44184375,23.554765624999998,33.529484375,27.534125,24.58409375
18,94.73684210526316,34.745390625,26.218098437499997,16.0914375,23.799453125,39.436390625,29.5709375,23.675453125
19,100.0,40.0341875,26.129549218749997,12.268374999999999,99.99974999999999,99.38265625,86.6650625,20.866390625
