,Feature variation,Age (0.07),SexCategory (0.01),HGB (0.21),WBC (0.26),RBC (0.23),MCV (0.19),PLT (0.04)
0,0.0,7.981187500000001,19.513875,82.147625,13.444890625,8.549578125,14.279296875,24.63871875
1,5.2631578947368425,9.307734375,19.401288359375,31.4824375,13.670218749999998,10.915046875,14.140171874999998,22.51925
2,10.526315789473685,11.080515625,19.288701718749998,25.06465625,13.78203125,11.420390625,14.458281249999999,20.975546875
3,15.789473684210527,13.0396875,19.176115078124997,20.302140625,13.842546875,11.875265625,14.641734375,20.156468750000002
4,21.05263157894737,15.220984374999999,19.0635284375,17.797874999999998,13.896343750000002,12.299453125,14.790796875000002,19.646843750000002
5,26.315789473684212,16.491875,18.950941796875,16.12478125,13.93121875,12.715218750000002,14.896593750000001,19.2791875
6,31.578947368421055,16.862859375,18.83835515625,14.704562500000002,13.966624999999999,13.142828125,15.00575,18.989734375
7,36.8421052631579,17.134984375000002,18.725768515625,13.74775,14.002515625000001,13.63175,15.099796875,18.74203125
8,42.10526315789474,17.502890625,18.613181875,13.338140625,14.038984375,14.108734375000001,15.193062500000002,18.530328125
9,47.36842105263158,18.054281250000003,18.500595234374998,12.937156250000001,14.065484375,14.62403125,15.2719375,18.326765625
10,52.631578947368425,18.675265625,18.38800859375,12.745890625000001,14.100874999999998,15.174796874999998,15.362890625,18.152437499999998
11,57.89473684210527,20.00078125,18.275421953125,12.584078125000001,14.14446875,15.674125,15.453046875000002,17.948625
12,63.15789473684211,20.7741875,18.1628353125,12.511359375,14.180953125,16.11621875,15.544531249999999,17.76834375
13,68.42105263157896,21.731624999999998,18.050248671875,12.3786875,14.228484375,16.597734375,15.637515625,17.563359375
14,73.6842105263158,22.620281249999998,17.93766203125,12.2538125,14.283562499999999,17.144046875,15.742343750000002,17.3380625
15,78.94736842105263,23.39015625,17.825075390625,12.134421875,14.347375000000001,17.68021875,15.877609375000002,17.0985
16,84.21052631578948,23.79478125,17.71248875,11.9616875,14.439031250000001,18.23371875,16.047578125,16.812968750000003
17,89.47368421052633,24.19515625,17.599902109375,11.849015625,14.571703124999999,18.946953125,16.28634375,16.441781250000002
18,94.73684210526316,24.414640625,17.48731546875,11.6284375,14.823109374999998,19.88628125,16.74328125,15.8899375
19,100.0,25.486296874999997,17.374728828125,10.06565625,99.99974999999999,89.02378125,77.287609375,10.94128125
